ActualElapsedTime,AirTime,ArrDelay,ArrTime,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,CarrierDelay,DayOfWeek,DayofMonth,DepDelay,DepTime,Dest,Distance,Diverted,FlightNum,LateAircraftDelay,Month,NASDelay,Origin,SecurityDelay,TailNum,TaxiIn,TaxiOut,UniqueCarrier,WeatherDelay,Year
53.0,32.0,-8.0,1642.0,1650,1545,65,,0,,4,10,4.0,1549.0,PIT,205.0,0,209,,10,,DCA,,N443US,7.0,14.0,US,,2002
164.0,155.0,-11.0,1754.0,1805,1610,175,,0,,4,2,0.0,1610.0,MCI,1072.0,0,109,,12,,MCO,,N755,2.0,7.0,WN,,1999
60.0,,15.0,2005.0,1950,1850,60,,0,,5,10,15.0,1905.0,CLT,227.0,0,1276,,12,,ATL,,,,,DL,,1993
51.0,,-5.0,1818.0,1823,1728,55,,0,,4,28,-1.0,1727.0,BNA,200.0,0,961,,9,,MEM,,,,,AA,,1989
45.0,29.0,2.0,1120.0,1118,1030,48,,0,0.0,1,19,5.0,1035.0,CMH,116.0,0,5873,0.0,6,0.0,CVG,0.0,N785CA,3.0,13.0,OH,0.0,2006
49.0,37.0,2.0,1137.0,1135,1048,47,,0,,4,2,0.0,1048.0,CLT,156.0,0,353,,1,,MYR,,N934VJ,6.0,6.0,US,,1997
61.0,40.0,-3.0,1537.0,1540,1440,60,,0,,7,20,-4.0,1436.0,LAW,140.0,0,3281,,7,,DFW,,N286AE,7.0,14.0,MQ,,2008
150.0,126.0,-19.0,2015.0,2034,1745,169,,0,,4,15,0.0,1745.0,ATL,903.0,0,1521,,10,,PVD,,N919DE,14.0,10.0,DL,,1998
115.0,103.0,-5.0,735.0,740,640,120,,0,,2,16,0.0,640.0,SEA,689.0,0,1678,,6,,SLC,,N346,2.0,10.0,WN,,1998
,,,,730,605,85,B,1,0.0,7,10,,,SLC,391.0,0,4117,0.0,4,0.0,DEN,0.0,N705EV,0.0,0.0,EV,0.0,2005
102.0,,-4.0,1603.0,1607,1320,107,,0,,2,3,1.0,1321.0,DFW,641.0,0,280,,12,,DEN,,,,,CO,,1991
87.0,,-8.0,1547.0,1555,1322,93,,0,,3,13,-2.0,1320.0,CLE,487.0,0,142,,11,,STL,,,,,TW,,1991
170.0,135.0,10.0,1051.0,1041,800,161,,0,,4,22,1.0,801.0,MCO,950.0,0,1123,,10,,LGA,,N558AA,3.0,32.0,AA,,1998
100.0,81.0,-2.0,1220.0,1222,1045,97,,0,0.0,1,6,-5.0,1040.0,ATL,300.0,0,4120,0.0,11,0.0,GNV,0.0,N632AS,10.0,9.0,EV,0.0,2006
60.0,,-5.0,2040.0,2045,1940,65,,0,,6,27,0.0,1940.0,DFW,247.0,0,559,,10,,SAT,,,,,AA,,1990
79.0,70.0,-16.0,1444.0,1500,1220,100,,0,,7,19,5.0,1225.0,PIT,553.0,0,754,,11,,STL,,N970VJ,5.0,4.0,US,,1995
174.0,,43.0,1213.0,1130,1031,179,,0,,5,8,48.0,1119.0,DEN,1199.0,0,545,,10,,ATL,,,,,DL,,1993
133.0,117.0,40.0,1429.0,1349,1044,125,,0,,4,30,32.0,1116.0,BOS,867.0,0,1270,,1,,ORD,,N7280U,5.0,11.0,UA,,1997
33.0,22.0,-3.0,1916.0,1919,1845,34,,0,0.0,2,6,-2.0,1843.0,HNL,100.0,0,549,0.0,11,0.0,OGG,0.0,N477HA,5.0,6.0,HA,0.0,2007
57.0,31.0,-9.0,1659.0,1708,1612,56,,0,0.0,5,4,-10.0,1602.0,ATL,152.0,0,4632,0.0,2,0.0,TYS,0.0,N846AS,9.0,17.0,EV,0.0,2005
79.0,65.0,13.0,1558.0,1545,1420,85,,0,,3,4,19.0,1439.0,SMF,480.0,0,950,,8,,SAN,,N358,3.0,11.0,WN,,1999
95.0,74.0,136.0,2343.0,2127,2035,112,,0,136.0,7,30,153.0,2308.0,SGF,563.0,0,4811,0.0,7,0.0,ATL,0.0,N854AS,3.0,18.0,EV,0.0,2006
48.0,,-2.0,1128.0,1130,1040,50,,0,,6,7,0.0,1040.0,TUL,237.0,0,14,,4,,DAL,,,,,WN,,1990
63.0,,16.0,1611.0,1555,1455,60,,0,,4,17,13.0,1508.0,MDW,251.0,0,842,,5,,STL,,,,,WN,,1990
129.0,,9.0,2159.0,2150,1850,120,,0,,4,9,0.0,1850.0,MLI,751.0,0,722,,8,,DEN,,,,,UA,,1990
105.0,61.0,3.0,2017.0,2014,1835,99,,0,,5,7,-3.0,1832.0,PIT,335.0,0,1587,,1,,LGA,,N934VJ,7.0,37.0,US,,2000
143.0,122.0,4.0,824.0,820,600,140,,0,0.0,4,21,1.0,601.0,ATL,780.0,0,662,0.0,12,0.0,HPN,0.0,N996AT,11.0,10.0,FL,0.0,2006
67.0,52.0,-4.0,1514.0,1518,1410,68,,0,,7,23,-3.0,1407.0,PVD,328.0,0,2614,,8,,BWI,,N278AU,6.0,9.0,US,,1998
97.0,76.0,2.0,1359.0,1357,1215,102,,0,,6,23,7.0,1222.0,CLE,404.0,0,281,,12,,EWR,,N27610,4.0,17.0,CO,,2000
245.0,228.0,-14.0,2007.0,2021,1800,261,,0,,2,26,2.0,1802.0,DEN,1619.0,0,239,,12,,LGA,,N327UA,5.0,12.0,UA,,1995
81.0,60.0,-6.0,1049.0,1055,930,85,,0,0.0,2,21,-2.0,928.0,MDT,429.0,0,4473,0.0,8,0.0,CVG,0.0,N926EV,5.0,16.0,EV,0.0,2007
123.0,86.0,10.0,1442.0,1432,1245,107,,0,,5,15,-6.0,1239.0,DTW,453.0,0,1781,,11,,PHL,,N775NC,18.0,19.0,NW,,2002
69.0,54.0,-12.0,1756.0,1808,1644,84,,0,,6,29,3.0,1647.0,MSP,334.0,0,765,,9,,ORD,,N986ä1,5.0,10.0,UA,,2001
59.0,44.0,-4.0,1230.0,1234,1125,69,,0,,1,24,6.0,1131.0,LIT,296.0,0,489,,3,,STL,,N52310,3.0,12.0,TW,,1997
110.0,104.0,-2.0,2333.0,2335,2135,120,,0,,5,28,8.0,2143.0,HOU,687.0,0,551,,12,,STL,,N81@@@,2.0,4.0,WN,,2001
